,WageType,1 ADULT - 0,1 ADULT - 1,1 ADULT - 2,1 ADULT - 3,2 ADULTS(1 WORKING) - 0,2 ADULTS(1 WORKING) - 1,2 ADULTS(1 WORKING) - 2,2 ADULTS(1 WORKING) - 3,2 ADULTS(BOTH WORKING) - 0,2 ADULTS(BOTH WORKING) - 1,2 ADULTS(BOTH WORKING) - 2,2 ADULTS(BOTH WORKING) - 3,State,County
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Chilton
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Chilton
0,Living Wage,$14.80 ,$28.17 ,$34.89 ,$45.05 ,$23.33 ,$28.19 ,$33.62 ,$35.76 ,$11.66 ,$15.81 ,$20.23 ,$23.01 ,Alabama,Choctaw
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Choctaw
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Choctaw
0,Living Wage,$14.80 ,$28.57 ,$35.70 ,$47.16 ,$23.42 ,$28.19 ,$33.62 ,$36.67 ,$11.71 ,$16.01 ,$20.63 ,$24.06 ,Alabama,Clarke
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Clarke
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Clarke
0,Living Wage,$14.80 ,$27.72 ,$33.99 ,$44.30 ,$23.91 ,$28.19 ,$33.62 ,$36.37 ,$11.95 ,$15.58 ,$19.77 ,$22.63 ,Alabama,Clay
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Clay
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Clay
0,Living Wage,$14.80 ,$27.72 ,$33.99 ,$44.48 ,$23.33 ,$28.19 ,$33.62 ,$36.55 ,$11.66 ,$15.58 ,$19.77 ,$22.72 ,Alabama,Cleburne
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Cleburne
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Cleburne
0,Living Wage,$15.13 ,$28.16 ,$34.43 ,$45.24 ,$23.87 ,$28.64 ,$34.06 ,$37.31 ,$11.93 ,$15.80 ,$20.00 ,$23.10 ,Alabama,Coffee
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Coffee
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Coffee
0,Living Wage,$15.15 ,$29.75 ,$37.17 ,$48.33 ,$24.09 ,$29.07 ,$34.49 ,$36.95 ,$12.04 ,$16.59 ,$21.36 ,$24.64 ,Alabama,Colbert
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Colbert
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Colbert
0,Living Wage,$14.80 ,$28.57 ,$35.70 ,$47.16 ,$23.72 ,$28.19 ,$33.62 ,$36.67 ,$11.86 ,$16.01 ,$20.63 ,$24.06 ,Alabama,Conecuh
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Conecuh
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Conecuh
0,Living Wage,$15.11 ,$28.14 ,$34.41 ,$44.22 ,$23.65 ,$28.62 ,$34.04 ,$36.28 ,$11.83 ,$15.79 ,$19.98 ,$22.59 ,Alabama,Coosa
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Coosa
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Coosa
0,Living Wage,$14.80 ,$28.47 ,$35.49 ,$46.38 ,$23.47 ,$28.19 ,$33.62 ,$36.20 ,$11.73 ,$15.95 ,$20.52 ,$23.67 ,Alabama,Covington
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Covington
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Covington
0,Living Wage,$14.80 ,$27.72 ,$33.99 ,$43.69 ,$23.33 ,$28.19 ,$33.62 ,$35.76 ,$11.66 ,$15.58 ,$19.77 ,$22.33 ,Alabama,Crenshaw
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Crenshaw
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Crenshaw
0,Living Wage,$14.91 ,$29.11 ,$36.53 ,$47.98 ,$23.79 ,$28.43 ,$33.86 ,$36.60 ,$11.89 ,$16.27 ,$21.04 ,$24.47 ,Alabama,Cullman
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Cullman
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Cullman
0,Living Wage,$15.14 ,$27.72 ,$33.99 ,$44.47 ,$23.67 ,$28.19 ,$33.62 ,$36.54 ,$11.84 ,$15.58 ,$19.77 ,$22.71 ,Alabama,Dale
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Dale
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Dale
0,Living Wage,$14.90 ,$28.56 ,$35.58 ,$46.06 ,$23.46 ,$28.29 ,$33.71 ,$35.88 ,$11.73 ,$16.00 ,$20.57 ,$23.51 ,Alabama,Dallas
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Dallas
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Dallas
0,Living Wage,$14.33 ,$27.44 ,$33.43 ,$43.34 ,$23.41 ,$28.19 ,$33.62 ,$36.24 ,$11.71 ,$15.44 ,$19.49 ,$22.15 ,Alabama,DeKalb
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,DeKalb
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,DeKalb
0,Living Wage,$16.04 ,$30.58 ,$37.60 ,$48.71 ,$25.52 ,$30.31 ,$35.73 ,$38.52 ,$12.76 ,$17.01 ,$21.58 ,$24.83 ,Alabama,Elmore
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Elmore
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Elmore
0,Living Wage,$14.80 ,$28.57 ,$35.70 ,$46.41 ,$23.76 ,$28.19 ,$33.62 ,$35.91 ,$11.88 ,$16.01 ,$20.63 ,$23.68 ,Alabama,Escambia
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Escambia
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Escambia
0,Living Wage,$15.40 ,$28.08 ,$34.07 ,$43.72 ,$23.94 ,$28.83 ,$34.26 ,$36.63 ,$11.97 ,$15.76 ,$19.81 ,$22.34 ,Alabama,Etowah
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Etowah
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Etowah
0,Living Wage,$14.80 ,$28.17 ,$34.89 ,$45.15 ,$23.91 ,$28.19 ,$33.62 ,$35.86 ,$11.95 ,$15.81 ,$20.23 ,$23.06 ,Alabama,Fayette
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Fayette
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Fayette
0,Living Wage,$14.80 ,$28.87 ,$36.29 ,$47.20 ,$23.77 ,$28.19 ,$33.62 ,$35.81 ,$11.89 ,$16.15 ,$20.92 ,$24.08 ,Alabama,Franklin
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Franklin
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Franklin
0,Living Wage,$15.29 ,$28.27 ,$34.54 ,$44.72 ,$23.84 ,$28.75 ,$34.17 ,$36.79 ,$11.92 ,$15.86 ,$20.05 ,$22.84 ,Alabama,Geneva
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Geneva
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Geneva
0,Living Wage,$14.80 ,$28.17 ,$34.89 ,$45.44 ,$23.91 ,$28.19 ,$33.62 ,$36.15 ,$11.95 ,$15.81 ,$20.23 ,$23.20 ,Alabama,Greene
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Greene
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Greene
0,Living Wage,$16.43 ,$29.75 ,$36.47 ,$47.15 ,$24.98 ,$29.77 ,$35.20 ,$37.85 ,$12.49 ,$16.60 ,$21.01 ,$24.05 ,Alabama,Hale
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Hale
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Hale
0,Living Wage,$14.90 ,$27.72 ,$33.99 ,$44.22 ,$23.72 ,$28.19 ,$33.62 ,$36.29 ,$11.86 ,$15.58 ,$19.77 ,$22.59 ,Alabama,Henry
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Henry
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Henry
0,Living Wage,$15.29 ,$28.27 ,$34.54 ,$44.72 ,$23.84 ,$28.75 ,$34.17 ,$36.79 ,$11.92 ,$15.86 ,$20.05 ,$22.84 ,Alabama,Houston
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Houston
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Houston
0,Living Wage,$14.64 ,$27.91 ,$33.90 ,$43.43 ,$24.04 ,$28.66 ,$34.09 ,$36.34 ,$12.02 ,$15.67 ,$19.73 ,$22.20 ,Alabama,Jackson
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Jackson
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Jackson
0,Living Wage,$17.40 ,$31.37 ,$38.46 ,$50.11 ,$26.33 ,$31.03 ,$36.45 ,$39.72 ,$13.17 ,$17.41 ,$22.01 ,$25.53 ,Alabama,Jefferson
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Jefferson
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Jefferson
0,Living Wage,$14.80 ,$28.17 ,$34.89 ,$45.58 ,$23.82 ,$28.19 ,$33.62 ,$36.28 ,$11.91 ,$15.81 ,$20.23 ,$23.27 ,Alabama,Lamar
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Lamar
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Lamar
0,Living Wage,$15.15 ,$29.75 ,$37.17 ,$48.33 ,$24.09 ,$29.07 ,$34.49 ,$36.95 ,$12.04 ,$16.59 ,$21.36 ,$24.64 ,Alabama,Lauderdale
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Lauderdale
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Lauderdale
0,Living Wage,$15.03 ,$29.44 ,$36.86 ,$48.19 ,$24.04 ,$28.76 ,$34.19 ,$36.81 ,$12.02 ,$16.44 ,$21.21 ,$24.58 ,Alabama,Lawrence
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Lawrence
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Lawrence
0,Living Wage,$15.65 ,$30.26 ,$37.61 ,$49.16 ,$24.44 ,$29.66 ,$35.08 ,$37.99 ,$12.22 ,$16.85 ,$21.58 ,$25.06 ,Alabama,Lee
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Lee
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Lee
0,Living Wage,$15.64 ,$30.31 ,$37.73 ,$49.45 ,$24.94 ,$29.64 ,$35.06 ,$38.07 ,$12.47 ,$16.88 ,$21.64 ,$25.21 ,Alabama,Limestone
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Limestone
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Limestone
0,Living Wage,$16.04 ,$30.58 ,$37.60 ,$48.71 ,$25.52 ,$30.31 ,$35.73 ,$38.52 ,$12.76 ,$17.01 ,$21.58 ,$24.83 ,Alabama,Lowndes
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Lowndes
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Lowndes
0,Living Wage,$14.97 ,$29.03 ,$36.38 ,$47.22 ,$23.50 ,$28.43 ,$33.85 ,$36.04 ,$11.75 ,$16.24 ,$20.97 ,$24.09 ,Alabama,Macon
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Macon
