,WageType,1 ADULT - 0,1 ADULT - 1,1 ADULT - 2,1 ADULT - 3,2 ADULTS(1 WORKING) - 0,2 ADULTS(1 WORKING) - 1,2 ADULTS(1 WORKING) - 2,2 ADULTS(1 WORKING) - 3,2 ADULTS(BOTH WORKING) - 0,2 ADULTS(BOTH WORKING) - 1,2 ADULTS(BOTH WORKING) - 2,2 ADULTS(BOTH WORKING) - 3,State,County,2022 Population Est
12,Living Wage,$17.40 ,$31.37 ,$38.46 ,$50.11 ,$26.33 ,$31.03 ,$36.45 ,$39.72 ,$13.17 ,$17.41 ,$22.01 ,$25.53 ,Alabama,Blount,59512
13,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Blount,59512
14,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Blount,59512
15,Living Wage,$15.21 ,$29.01 ,$36.03 ,$46.62 ,$23.85 ,$28.74 ,$34.16 ,$36.44 ,$11.93 ,$16.23 ,$20.80 ,$23.79 ,Alabama,Bullock,10202
16,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Bullock,10202
17,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Bullock,10202
18,Living Wage,$14.80 ,$28.47 ,$35.49 ,$45.94 ,$23.91 ,$28.19 ,$33.62 ,$35.76 ,$11.95 ,$15.95 ,$20.52 ,$23.45 ,Alabama,Butler,18650
19,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Butler,18650
20,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Butler,18650
21,Living Wage,$14.82 ,$28.40 ,$34.67 ,$44.89 ,$23.85 ,$28.88 ,$34.30 ,$36.95 ,$11.93 ,$15.92 ,$20.11 ,$22.92 ,Alabama,Calhoun,115788
22,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Calhoun,115788
23,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Calhoun,115788
24,Living Wage,$15.22 ,$29.65 ,$37.00 ,$48.22 ,$24.40 ,$29.04 ,$34.46 ,$37.05 ,$12.20 ,$16.54 ,$21.28 ,$24.59 ,Alabama,Chambers,34088
25,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Chambers,34088
26,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Chambers,34088
27,Living Wage,$14.80 ,$27.44 ,$33.43 ,$43.53 ,$23.33 ,$28.19 ,$33.62 ,$36.44 ,$11.66 ,$15.44 ,$19.49 ,$22.25 ,Alabama,Cherokee,25302
28,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Cherokee,25302
29,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Cherokee,25302
30,Living Wage,$15.69 ,$29.08 ,$36.10 ,$47.72 ,$24.44 ,$28.80 ,$34.22 ,$37.54 ,$12.22 ,$16.26 ,$20.83 ,$24.34 ,Alabama,Chilton,45884
31,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Chilton,45884
32,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Chilton,45884
33,Living Wage,$14.80 ,$28.17 ,$34.89 ,$45.05 ,$23.33 ,$28.19 ,$33.62 ,$35.76 ,$11.66 ,$15.81 ,$20.23 ,$23.01 ,Alabama,Choctaw,12439
34,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Choctaw,12439
35,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Choctaw,12439
36,Living Wage,$14.80 ,$28.57 ,$35.70 ,$47.16 ,$23.42 ,$28.19 ,$33.62 ,$36.67 ,$11.71 ,$16.01 ,$20.63 ,$24.06 ,Alabama,Clarke,22515
37,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Clarke,22515
38,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Clarke,22515
39,Living Wage,$14.80 ,$27.72 ,$33.99 ,$44.30 ,$23.91 ,$28.19 ,$33.62 ,$36.37 ,$11.95 ,$15.58 ,$19.77 ,$22.63 ,Alabama,Clay,14198
40,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Clay,14198
41,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Clay,14198
42,Living Wage,$14.80 ,$27.72 ,$33.99 ,$44.48 ,$23.33 ,$28.19 ,$33.62 ,$36.55 ,$11.66 ,$15.58 ,$19.77 ,$22.72 ,Alabama,Cleburne,15346
43,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Cleburne,15346
44,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Cleburne,15346
45,Living Wage,$15.13 ,$28.16 ,$34.43 ,$45.24 ,$23.87 ,$28.64 ,$34.06 ,$37.31 ,$11.93 ,$15.80 ,$20.00 ,$23.10 ,Alabama,Coffee,54805
46,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Coffee,54805
47,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Coffee,54805
48,Living Wage,$15.15 ,$29.75 ,$37.17 ,$48.33 ,$24.09 ,$29.07 ,$34.49 ,$36.95 ,$12.04 ,$16.59 ,$21.36 ,$24.64 ,Alabama,Colbert,58033
49,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Colbert,58033
50,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Colbert,58033
51,Living Wage,$14.80 ,$28.57 ,$35.70 ,$47.16 ,$23.72 ,$28.19 ,$33.62 ,$36.67 ,$11.86 ,$16.01 ,$20.63 ,$24.06 ,Alabama,Conecuh,11206
52,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Conecuh,11206
53,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Conecuh,11206
54,Living Wage,$15.11 ,$28.14 ,$34.41 ,$44.22 ,$23.65 ,$28.62 ,$34.04 ,$36.28 ,$11.83 ,$15.79 ,$19.98 ,$22.59 ,Alabama,Coosa,10166
55,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Coosa,10166
56,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Coosa,10166
57,Living Wage,$14.80 ,$28.47 ,$35.49 ,$46.38 ,$23.47 ,$28.19 ,$33.62 ,$36.20 ,$11.73 ,$15.95 ,$20.52 ,$23.67 ,Alabama,Covington,37602
58,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Covington,37602
59,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Covington,37602
60,Living Wage,$14.80 ,$27.72 ,$33.99 ,$43.69 ,$23.33 ,$28.19 ,$33.62 ,$35.76 ,$11.66 ,$15.58 ,$19.77 ,$22.33 ,Alabama,Crenshaw,13025
61,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Crenshaw,13025
62,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Crenshaw,13025
63,Living Wage,$14.91 ,$29.11 ,$36.53 ,$47.98 ,$23.79 ,$28.43 ,$33.86 ,$36.60 ,$11.89 ,$16.27 ,$21.04 ,$24.47 ,Alabama,Cullman,90665
64,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Cullman,90665
65,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Cullman,90665
66,Living Wage,$15.14 ,$27.72 ,$33.99 ,$44.47 ,$23.67 ,$28.19 ,$33.62 ,$36.54 ,$11.84 ,$15.58 ,$19.77 ,$22.71 ,Alabama,Dale,49544
67,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Dale,49544
68,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Dale,49544
69,Living Wage,$14.90 ,$28.56 ,$35.58 ,$46.06 ,$23.46 ,$28.29 ,$33.71 ,$35.88 ,$11.73 ,$16.00 ,$20.57 ,$23.51 ,Alabama,Dallas,36767
70,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Dallas,36767
71,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Dallas,36767
72,Living Wage,$14.33 ,$27.44 ,$33.43 ,$43.34 ,$23.41 ,$28.19 ,$33.62 ,$36.24 ,$11.71 ,$15.44 ,$19.49 ,$22.15 ,Alabama,DeKalb,71998
73,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,DeKalb,71998
74,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,DeKalb,71998
75,Living Wage,$16.04 ,$30.58 ,$37.60 ,$48.71 ,$25.52 ,$30.31 ,$35.73 ,$38.52 ,$12.76 ,$17.01 ,$21.58 ,$24.83 ,Alabama,Elmore,89563
76,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Elmore,89563
77,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Elmore,89563
78,Living Wage,$14.80 ,$28.57 ,$35.70 ,$46.41 ,$23.76 ,$28.19 ,$33.62 ,$35.91 ,$11.88 ,$16.01 ,$20.63 ,$23.68 ,Alabama,Escambia,36666
79,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Escambia,36666
80,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Escambia,36666
81,Living Wage,$15.40 ,$28.08 ,$34.07 ,$43.72 ,$23.94 ,$28.83 ,$34.26 ,$36.63 ,$11.97 ,$15.76 ,$19.81 ,$22.34 ,Alabama,Etowah,103088
82,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Etowah,103088
83,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Etowah,103088
84,Living Wage,$14.80 ,$28.17 ,$34.89 ,$45.15 ,$23.91 ,$28.19 ,$33.62 ,$35.86 ,$11.95 ,$15.81 ,$20.23 ,$23.06 ,Alabama,Fayette,16118
85,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Fayette,16118
86,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Fayette,16118
87,Living Wage,$14.80 ,$28.87 ,$36.29 ,$47.20 ,$23.77 ,$28.19 ,$33.62 ,$35.81 ,$11.89 ,$16.15 ,$20.92 ,$24.08 ,Alabama,Franklin,31932
88,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Franklin,31932
89,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Franklin,31932
90,Living Wage,$15.29 ,$28.27 ,$34.54 ,$44.72 ,$23.84 ,$28.75 ,$34.17 ,$36.79 ,$11.92 ,$15.86 ,$20.05 ,$22.84 ,Alabama,Geneva,26783
91,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Geneva,26783
92,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Geneva,26783
93,Living Wage,$14.80 ,$28.17 ,$34.89 ,$45.44 ,$23.91 ,$28.19 ,$33.62 ,$36.15 ,$11.95 ,$15.81 ,$20.23 ,$23.20 ,Alabama,Greene,7422
94,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Greene,7422
95,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Greene,7422
96,Living Wage,$16.43 ,$29.75 ,$36.47 ,$47.15 ,$24.98 ,$29.77 ,$35.20 ,$37.85 ,$12.49 ,$16.60 ,$21.01 ,$24.05 ,Alabama,Hale,14595
97,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Hale,14595
98,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Hale,14595
99,Living Wage,$14.90 ,$27.72 ,$33.99 ,$44.22 ,$23.72 ,$28.19 ,$33.62 ,$36.29 ,$11.86 ,$15.58 ,$19.77 ,$22.59 ,Alabama,Henry,17655
100,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Henry,17655
101,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Henry,17655
102,Living Wage,$15.29 ,$28.27 ,$34.54 ,$44.72 ,$23.84 ,$28.75 ,$34.17 ,$36.79 ,$11.92 ,$15.86 ,$20.05 ,$22.84 ,Alabama,Houston,108079
103,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Houston,108079
104,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Houston,108079
105,Living Wage,$14.64 ,$27.91 ,$33.90 ,$43.43 ,$24.04 ,$28.66 ,$34.09 ,$36.34 ,$12.02 ,$15.67 ,$19.73 ,$22.20 ,Alabama,Jackson,52891
106,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Jackson,52891
107,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Jackson,52891
108,Living Wage,$17.40 ,$31.37 ,$38.46 ,$50.11 ,$26.33 ,$31.03 ,$36.45 ,$39.72 ,$13.17 ,$17.41 ,$22.01 ,$25.53 ,Alabama,Jefferson,665409
109,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Jefferson,665409
110,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Jefferson,665409
111,Living Wage,$14.80 ,$28.17 ,$34.89 ,$45.58 ,$23.82 ,$28.19 ,$33.62 ,$36.28 ,$11.91 ,$15.81 ,$20.23 ,$23.27 ,Alabama,Lamar,13705
112,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Lamar,13705
113,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Lamar,13705
114,Living Wage,$15.15 ,$29.75 ,$37.17 ,$48.33 ,$24.09 ,$29.07 ,$34.49 ,$36.95 ,$12.04 ,$16.59 ,$21.36 ,$24.64 ,Alabama,Lauderdale,95878
115,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Lauderdale,95878
116,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Lauderdale,95878
117,Living Wage,$15.03 ,$29.44 ,$36.86 ,$48.19 ,$24.04 ,$28.76 ,$34.19 ,$36.81 ,$12.02 ,$16.44 ,$21.21 ,$24.58 ,Alabama,Lawrence,33214
118,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Lawrence,33214
119,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Lawrence,33214
120,Living Wage,$15.65 ,$30.26 ,$37.61 ,$49.16 ,$24.44 ,$29.66 ,$35.08 ,$37.99 ,$12.22 ,$16.85 ,$21.58 ,$25.06 ,Alabama,Lee,180773
121,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Lee,180773
122,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Lee,180773
123,Living Wage,$15.64 ,$30.31 ,$37.73 ,$49.45 ,$24.94 ,$29.64 ,$35.06 ,$38.07 ,$12.47 ,$16.88 ,$21.64 ,$25.21 ,Alabama,Limestone,110900
124,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Limestone,110900
125,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Limestone,110900
126,Living Wage,$16.04 ,$30.58 ,$37.60 ,$48.71 ,$25.52 ,$30.31 ,$35.73 ,$38.52 ,$12.76 ,$17.01 ,$21.58 ,$24.83 ,Alabama,Lowndes,9777
