,CostType,1 ADULT - 0,1 ADULT - 1,1 ADULT - 2,1 ADULT - 3,2 ADULTS(1 WORKING) - 0,2 ADULTS(1 WORKING) - 1,2 ADULTS(1 WORKING) - 2,2 ADULTS(1 WORKING) - 3,2 ADULTS(BOTH WORKING) - 0,2 ADULTS(BOTH WORKING) - 1,2 ADULTS(BOTH WORKING) - 2,2 ADULTS(BOTH WORKING) - 3,State
2,Civic,2581.0,4144.0,5120.0,6686.0,4144.0,5120.0,6686.0,5314.0,4144.0,5120.0,6686.0,5314.0,Arizona
3,Food,3999.0000000000005,5893.0,8853.0,11742.000000000002,7332.0,9124.0,11764.0,14320.999999999998,7332.0,9124.0,11764.0,14320.999999999998,Arizona
4,Housing,11010.948662197792,15057.428538602784,15057.428538602784,21216.90830045724,12208.852795760191,15057.428538602784,15057.428538602784,21216.90830045724,12208.852795760191,15057.428538602784,15057.428538602784,21216.90830045724,Arizona
5,Medical,2607.0,7828.999999999999,7615.999999999999,7925.0,5910.000000000001,7615.999999999999,7925.0,7714.0,5910.000000000001,7615.999999999999,7925.0,7714.0,Arizona
6,Other,4748.0,7080.0,6477.000000000001,9424.0,7080.0,6477.000000000001,9424.0,9115.0,7080.0,6477.000000000001,9424.0,9115.0,Arizona
7,Required annual income after taxes,30007.01546812784,54918.384878676305,66695.09571832362,88659.42389787908,45560.81928381588,54909.398533155174,64434.44405537724,72417.91581282577,45560.81928381588,60938.3848786763,76492.09571832362,90504.49333045438,Arizona
8,Required annual income before taxes,36280.219974679305,67071.54364898778,81454.87113648404,108279.326471081,55486.880558571815,67060.84364272353,78694.01399935345,88443.81776041599,55486.880558571815,74423.8004507829,93419.87113648403,110533.14766787736,Arizona
9,Transportation,4937.999999999999,8762.0,11391.000000000002,13455.999999999998,8762.0,11391.000000000002,13455.999999999998,14613.0,8762.0,11391.000000000002,13455.999999999998,14613.0,Arizona
0,Annual taxes,6424.8283268820305,12420.400670532958,15542.283179512198,20446.342681022066,10033.055189111508,12115.966190652405,14379.111672533534,15622.62242447147,10033.055189111508,13857.206448765888,17862.2831795122,20847.22714263059,Arkansas
1,Child Care,0.0,7031.666089885301,14063.470678876041,21095.166800574065,0.0,7031.666089885301,14063.470678876041,21095.166800574065,0.0,7031.666089885301,14063.470678876041,21095.166800574065,Arkansas
2,Civic,2503.0,4019.000000000001,4965.000000000003,6483.000000000003,4019.000000000001,4965.000000000003,6483.000000000003,5153.0,4019.000000000001,4965.000000000003,6483.000000000003,5153.0,Arkansas
3,Food,3350.999999999999,4936.999999999999,7417.0,9838.000000000002,6142.999999999999,7644.999999999999,9855.999999999996,11998.999999999996,6142.999999999999,7644.999999999999,9855.999999999996,11998.999999999996,Arkansas
4,Housing,7427.257684353057,9808.168312573038,9808.168312573038,13228.317385164422,7937.883128225724,9808.168312573038,9808.168312573038,13228.317385164422,7937.883128225724,9808.168312573038,9808.168312573038,13228.317385164422,Arkansas
5,Medical,2520.9999999999995,7734.000000000004,7520.999999999996,7829.999999999999,5789.999999999998,7520.999999999996,7829.999999999999,7619.0,5789.999999999998,7520.999999999996,7829.999999999999,7619.0,Arkansas
6,Other,4507.999999999998,6722.999999999998,6150.000000000001,8948.0,6722.999999999998,6150.000000000001,8948.0,8655.000000000002,6722.999999999998,6150.000000000001,8948.0,8655.000000000002,Arkansas
7,Required annual income after taxes,25942.30045668606,50151.39142813144,62756.92381593735,82557.96210579261,40511.69063056431,48920.778428289406,58060.710087577776,63081.29098313423,40511.69063056431,55952.44451817469,72124.1807664538,84176.45778370832,Arkansas
8,Required annual income before taxes,32367.29642140545,62572.00419879322,78299.10551093255,103004.31672684565,50544.548590984414,61036.671108868184,72440.0019056769,78703.80858651244,50544.548590984414,69809.75804470463,89986.35468015389,105023.39240822205,Arkansas
9,Transportation,5509.0,9775.999999999998,12709.000000000002,15011.999999999998,9775.999999999998,12709.000000000002,15011.999999999998,16304.0,9775.999999999998,12709.000000000002,15011.999999999998,16304.0,Arkansas
0,Annual taxes,9384.964651389719,21298.76200131685,26494.786198624606,35677.891756976074,15923.09689545881,19668.006063207522,22553.401148833098,25873.42954908129,15923.09689545881,23122.496741784682,29462.709762260398,36236.91002541114,California
1,Child Care,0.0,11403.666726100584,22807.361946199348,34211.23898278888,0.0,11403.666726100584,22807.361946199348,34211.23898278888,0.0,11403.666726100584,22807.361946199348,34211.23898278888,California
2,Civic,2580.9999999999995,4144.0,5120.0,6686.000000000001,4144.0,5120.0,6686.000000000001,5314.000000000001,4144.0,5120.0,6686.000000000001,5314.000000000001,California
3,Food,3998.9999999999995,5892.999999999998,8853.0,11742.000000000002,7332.000000000001,9124.0,11764.000000000004,14320.999999999995,7332.000000000001,9124.0,11764.000000000004,14320.999999999995,California
4,Housing,17535.294445086984,25440.508200958135,25440.508200958135,34575.7265099678,20250.19380347228,25440.508200958135,25440.508200958135,34575.7265099678,20250.19380347228,25440.508200958135,25440.508200958135,34575.7265099678,California
5,Medical,2288.0000000000005,7462.000000000001,7249.000000000001,7559.0,5764.0,7249.000000000001,7559.0,7346.999999999999,5764.0,7249.000000000001,7559.0,7346.999999999999,California
6,Other,4748.0,7079.999999999997,6477.000000000002,9424.000000000002,7079.999999999997,6477.000000000002,9424.000000000002,9115.000000000002,7079.999999999997,6477.000000000002,9424.000000000002,9115.000000000002,California
7,Required annual income after taxes,36212.09498125793,70309.16972984068,87460.93293186957,117775.92928981481,53455.208865832275,64925.50820095813,74450.56706602947,85410.00397690538,53455.208865832275,76329.17492705872,97257.93293186955,119621.24295969425,California
8,Required annual income before taxes,45596.94966740665,91607.7606517168,113955.74447219739,153453.746189162,69378.28377503778,84593.46427603111,97004.29565445914,111283.48130352798,69378.28377503778,99451.67895438772,126720.68799673846,155858.45391375027,California
9,Transportation,4938.000000000001,8762.0,11390.999999999998,13455.999999999996,8762.0,11390.999999999998,13455.999999999996,14613.0,8762.0,11390.999999999998,13455.999999999996,14613.0,California
0,Annual taxes,7366.387561588965,14419.839134263002,18245.935868879165,24553.244796423794,11219.662776206418,13265.37533009836,15427.58436288405,17409.151935315615,11219.662776206418,15786.590372378008,20469.684446172785,24972.109679643207,Colorado
1,Child Care,0.0,11106.35578892609,22212.504445261813,33318.782944167455,0.0,11106.35578892609,22212.504445261813,33318.782944167455,0.0,11106.35578892609,22212.504445261813,33318.782944167455,Colorado
2,Civic,2581.0,4144.0,5120.000000000003,6685.999999999997,4144.0,5120.000000000003,6685.999999999997,5313.999999999998,4144.0,5120.000000000003,6685.999999999997,5313.999999999998,Colorado
3,Food,3999.0,5893.000000000003,8852.999999999998,11742.000000000004,7332.000000000001,9123.999999999998,11763.999999999995,14320.999999999995,7332.000000000001,9123.999999999998,11763.999999999995,14320.999999999995,Colorado
4,Housing,13332.572330026098,18365.207156734523,18365.207156734523,25270.075295303395,14797.662271234263,18365.207156734523,18365.207156734523,25270.075295303395,14797.662271234263,18365.207156734523,18365.207156734523,25270.075295303395,Colorado
5,Medical,2729.000000000001,8051.000000000001,7837.999999999998,8148.000000000005,7187.0,7837.999999999998,8148.000000000005,7937.000000000003,7187.0,7837.999999999998,8148.000000000005,7937.000000000003,Colorado
6,Other,4747.999999999998,7080.0,6477.0,9424.0,7080.0,6477.0,9424.0,9114.999999999998,7080.0,6477.0,9424.0,9114.999999999998,Colorado
7,Required annual income after taxes,32451.276788609975,63526.232163215784,80380.4496087793,108166.87261705026,49426.62789665484,58439.87774468378,67964.94516351748,76693.85644527005,49426.62789665484,69546.23353360985,90177.44960877928,110012.63938943748,Colorado
8,Required annual income before taxes,39817.04349661278,77945.98869951435,98626.47418974146,132720.30692015623,60646.1749279015,71705.4477585846,83392.54772046767,94102.5713817264,60646.1749279015,85332.56427530071,110647.24991874896,134984.62357570973,Colorado
9,Transportation,4937.999999999999,8762.000000000002,11391.0,13456.0,8762.000000000002,11391.0,13456.0,14613.000000000005,8762.000000000002,11391.0,13456.0,14613.000000000005,Colorado
0,Annual taxes,7319.625,14707.0,18389.125,24920.125,11491.625,13811.375,16194.75,17606.0,11491.625,16091.125,21343.625,25230.5,Connecticut
1,Child Care,0.0,9441.5,18883.125,28325.0,0.0,9441.5,18883.125,28325.0,0.0,9441.5,18883.125,28325.0,Connecticut
2,Civic,3207.0,5149.0,6361.0,8307.0,5149.0,6361.0,8307.0,6603.0,5149.0,6361.0,8307.0,6603.0,Connecticut
3,Food,3891.0,5734.0,8613.0,11425.0,7133.0,8878.0,11446.0,13934.0,7133.0,8878.0,11446.0,13934.0,Connecticut
4,Housing,11767.75,17362.375,17362.375,21981.375,13891.625,17362.375,17362.375,21981.375,13891.625,17362.375,17362.375,21981.375,Connecticut
5,Medical,2798.0,7699.0,7486.0,7795.0,5896.0,7486.0,7795.0,7584.0,5896.0,7486.0,7795.0,7584.0,Connecticut
6,Other,5275.0,7867.0,7197.0,10471.0,7867.0,7197.0,10471.0,10128.0,7867.0,7197.0,10471.0,10128.0,Connecticut
7,Required annual income after taxes,31306.125,60906.875,75817.25,99992.0,47590.75,57198.375,67069.375,72913.375,47590.75,66639.875,85952.5,101238.375,Connecticut
8,Required annual income before taxes,38625.75,75613.75,94206.375,124912.0,59082.375,71009.625,83264.125,90519.5,59082.375,82731.0,107296.125,126469.125,Connecticut
9,Transportation,4244.0,7531.0,9791.0,11565.0,7531.0,9791.0,11565.0,12560.0,7531.0,9791.0,11565.0,12560.0,Connecticut
0,Annual taxes,7180.749089745049,14966.44137251128,18614.64026960043,24393.661999850745,10956.528990687315,14260.242475422132,16624.242475422136,18192.24887764681,10956.528990687315,16466.87627406235,21037.64026960043,24812.096901401812,Delaware
1,Child Care,0.0,8530.843237797477,17062.251574043887,25593.278380904874,0.0,8530.843237797477,17062.251574043887,25593.278380904874,0.0,8530.843237797477,17062.251574043887,25593.278380904874,Delaware
2,Civic,2503.0,4019.0,4965.0,6483.0,4019.0,4965.0,6483.0,5153.0,4019.0,4965.0,6483.0,5153.0,Delaware
3,Food,3351.0,4937.0,7416.999999999999,9838.0,6143.0,7644.999999999999,9856.0,11999.0,6143.0,7644.999999999999,9856.0,11999.0,Delaware
4,Housing,10788.268092176324,14934.98610167361,14934.98610167361,19396.575457876894,12183.28400739987,14934.98610167361,14934.98610167361,19396.575457876894,12183.28400739987,14934.98610167361,14934.98610167361,19396.575457876894,Delaware
5,Medical,2863.0,8819.0,8606.0,8916.0,6265.0,8606.0,8916.0,8704.999999999998,6265.0,8606.0,8916.0,8704.999999999998,Delaware
6,Other,4508.0,6722.999999999999,6149.999999999999,8948.0,6722.999999999999,6149.999999999999,8948.0,8654.999999999998,6722.999999999999,6149.999999999999,8948.0,8654.999999999998,Delaware
7,Required annual income after taxes,29644.268092176324,57862.829339471085,71967.42124478101,94309.85383878177,45231.46757646337,55132.98610167361,64272.98610167361,70334.5754578769,45231.46757646337,63663.829339471085,81335.2376757175,95927.85383878177,Delaware
8,Required annual income before taxes,36825.20075098488,72829.27071198238,90581.87794531793,118703.5158386325,56188.56166559963,69393.41214615926,80897.22857709575,88527.07566801127,56188.56166559963,80130.45428104588,102372.87794531793,120740.5158386325,Delaware
9,Transportation,5509.0,9776.0,12708.999999999998,15012.0,9776.0,12708.999999999998,15012.0,16304.0,9776.0,12708.999999999998,15012.0,16304.0,Delaware
0,Annual taxes,4996.904804322337,9824.167822014137,12176.59997213734,16030.360624627132,7624.601505213145,9315.618509843842,10797.287553647877,11945.73092395476,7624.601505213145,10764.608141588718,13695.247819234164,16292.791613536327,Florida
1,Child Care,0.0,8938.090059066777,17876.278777898126,26814.221776410635,0.0,8938.090059066777,17876.278777898126,26814.221776410635,0.0,8938.090059066777,17876.278777898126,26814.221776410635,Florida
2,Civic,2502.9999999999995,4019.0,4965.0,6482.999999999999,4019.0,4965.0,6482.999999999999,5152.999999999999,4019.0,4965.0,6482.999999999999,5152.999999999999,Florida
3,Food,3351.0,4936.999999999999,7417.0,9838.000000000002,6142.999999999997,7645.0,9855.999999999996,11998.999999999998,6142.999999999997,7645.0,9855.999999999996,11998.999999999998,Florida
4,Housing,11958.489220480651,16422.064853157073,16422.064853157073,21906.17565075704,13341.255240466513,16422.064853157073,16422.064853157073,21906.17565075704,13341.255240466513,16422.064853157073,16422.064853157073,21906.17565075704,Florida
5,Medical,2871.0,9661.999999999998,9449.0,9757.999999999998,6907.999999999999,9449.0,9757.999999999998,9547.0,6907.999999999999,9449.0,9757.999999999998,9547.0,Florida
6,Other,4508.0,6723.0,6150.000000000001,8947.999999999998,6723.0,6150.000000000001,8947.999999999998,8654.999999999998,6723.0,6150.000000000001,8947.999999999998,8654.999999999998,Florida
7,Required annual income after taxes,30823.335825418788,60599.63123855827,75111.34988684785,98882.93779761702,47032.185275378455,57462.69897265535,66602.40971222834,73687.13216090773,47032.185275378455,66400.78903172212,84478.68849012646,100501.35393731836,Florida
8,Required annual income before taxes,35820.11697939788,70423.81584757946,87287.99679426536,114913.29875634433,54656.678581304084,66778.30790503482,77399.932661141,85632.83058849242,54656.678581304084,77165.40742459493,98174.10917533489,116794.06415303913,Florida
9,Transportation,5509.000000000002,9776.000000000002,12709.0,15012.000000000002,9776.000000000002,12709.0,15012.000000000002,16304.000000000002,9776.000000000002,12709.0,15012.000000000002,16304.000000000002,Florida
0,Annual taxes,7239.881610103906,13121.956051260144,16183.566397542025,21093.731484189313,10793.522569485045,12850.766593092303,15092.977044027144,16407.605909902533,10793.522569485045,14545.133300741623,18481.57886015762,21490.74621428565,Georgia
1,Child Care,0.0,6906.164304226108,13811.830319792181,20718.16842312515,0.0,6906.164304226108,13811.830319792181,20718.16842312515,0.0,6906.164304226108,13811.830319792181,20718.16842312515,Georgia
2,Civic,2502.9999999999986,4019.0,4964.999999999996,6482.999999999997,4019.0,4964.999999999996,6482.999999999997,5152.999999999995,4019.0,4964.999999999996,6482.999999999997,5152.999999999995,Georgia
3,Food,3350.999999999999,4936.999999999999,7416.999999999999,9838.000000000002,6143.000000000001,7644.999999999999,9856.0,11999.00000000001,6143.000000000001,7644.999999999999,9856.0,11999.00000000001,Georgia
4,Housing,10933.884910817114,13139.527830469542,13139.527830469542,16898.641154527908,11336.178422196184,13139.527830469542,13139.527830469542,16898.641154527908,11336.178422196184,13139.527830469542,13139.527830469542,16898.641154527908,Georgia
5,Medical,2583.000000000001,7863.0,7649.999999999998,7958.999999999997,5877.0,7649.999999999998,7958.999999999997,7748.000000000001,5877.0,7649.999999999998,7958.999999999997,7748.000000000001,Georgia
6,Other,4508.000000000002,6723.000000000001,6150.000000000003,8948.000000000002,6723.000000000001,6150.000000000003,8948.000000000002,8655.000000000002,6723.000000000001,6150.000000000003,8948.000000000002,8655.000000000002,Georgia
7,Required annual income after taxes,29510.109967955756,53486.505645179685,65965.41844712876,85980.7554256167,43996.99932129641,52381.49764627138,61521.31918803536,66880.65541711567,43996.99932129641,59287.66195049748,75333.14950782755,87598.82431297649,Georgia
8,Required annual income before taxes,36750.10146568245,66608.09878314803,82148.96546085583,107074.43734170115,54790.55439674932,65232.242387510676,76614.24238751066,83288.87392243995,54790.55439674932,73832.70562045624,93814.37151469743,109089.60033107095,Georgia
9,Transportation,5509.000000000004,9776.000000000004,12709.0,15011.999999999996,9776.000000000004,12709.0,15011.999999999996,16303.99999999999,9776.000000000004,12709.0,15011.999999999996,16303.99999999999,Georgia
0,Annual taxes,9991.301620566148,19255.601847492628,23486.825743656405,31808.030910052952,15015.467574789216,18382.686590783786,21100.686590783786,24562.119763435392,15015.467574789216,20973.601847492628,26282.51710420147,33349.25682966765,Hawaii
1,Child Care,0.0,9079.946011912944,18159.943276712813,27239.889288625764,0.0,9079.946011912944,18159.943276712813,27239.889288625764,0.0,9079.946011912944,18159.943276712813,27239.889288625764,Hawaii
2,Civic,2581.0,4143.999999999999,5120.0,6686.0,4143.999999999999,5120.0,6686.0,5313.999999999999,4143.999999999999,5120.0,6686.0,5313.999999999999,Hawaii
3,Food,3999.0,5893.0,8853.0,11742.0,7331.999999999999,9123.999999999998,11763.999999999998,14321.0,7331.999999999999,9123.999999999998,11763.999999999998,14321.0,Hawaii
4,Housing,17458.45950042844,25232.612120290476,25232.612120290476,35538.67699432128,19327.470744677157,25232.612120290476,25232.612120290476,35538.67699432128,19327.470744677157,25232.612120290476,25232.612120290476,35538.67699432128,Hawaii
5,Medical,1888.0,7166.999999999999,6954.0,7263.0,5854.0,6954.0,7263.0,7051.999999999999,5854.0,6954.0,7263.0,7051.999999999999,Hawaii
6,Other,4748.0,7079.999999999999,6477.0,9424.0,7079.999999999999,6477.0,9424.0,9115.0,7079.999999999999,6477.0,9424.0,9115.0,Hawaii
7,Required annual income after taxes,35735.45950042844,67482.3927557124,82310.6986599672,111471.61753583395,52622.584868281265,64422.446743799446,73947.75538325438,86077.67699432127,52622.584868281265,73502.39275571238,92107.6986599672,113317.56628294704,Hawaii
8,Required annual income before taxes,45726.64699739049,86738.25198977302,105797.21576416866,143279.79170885083,67638.74380361554,82805.27659754714,95048.39072115124,110639.10539721159,67638.74380361554,94476.13786616892,118390.21576416866,146666.7089890106,Hawaii
9,Transportation,4938.0,8762.0,11391.0,13455.999999999998,8762.0,11391.0,13455.999999999998,14613.0,8762.0,11391.0,13455.999999999998,14613.0,Hawaii
0,Annual taxes,6877.686475681432,13382.2078443224,16498.171042473234,21895.649375745543,10863.653174546282,13291.654344201463,15740.553051959401,17455.838809860375,10863.653174546282,14929.90517283615,19016.605551323777,22369.914204657678,Idaho
1,Child Care,0.0,6372.048293659778,12743.857196344776,19115.905490004556,0.0,6372.048293659778,12743.857196344776,19115.905490004556,0.0,6372.048293659778,12743.857196344776,19115.905490004556,Idaho
2,Civic,2580.999999999999,4144.0,5120.000000000001,6686.0,4144.0,5120.000000000001,6686.0,5313.999999999999,4144.0,5120.000000000001,6686.0,5313.999999999999,Idaho
3,Food,3999.0,5893.0,8852.999999999996,11742.0,7332.0,9123.999999999998,11763.999999999996,14321.0,7332.0,9123.999999999998,11763.999999999996,14321.0,Idaho
4,Housing,8170.345076643876,11716.619270533303,11716.619270533303,16565.346887855958,9289.197913083479,11716.619270533303,11716.619270533303,16565.346887855958,9289.197913083479,11716.619270533303,11716.619270533303,16565.346887855958,Idaho
5,Medical,2194.0,7965.000000000001,7752.000000000002,8062.0,5528.999999999999,7752.000000000002,8062.0,7850.999999999998,5528.999999999999,7752.000000000002,8062.0,7850.999999999998,Idaho
6,Other,4748.0,7080.000000000002,6476.999999999999,9424.0,7080.000000000002,6476.999999999999,9424.0,9115.000000000002,7080.000000000002,6476.999999999999,9424.0,9115.000000000002,Idaho
7,Required annual income after taxes,26753.478782980997,52056.795247424874,64177.20535648438,85173.28027372406,42259.783580269126,51704.815108871284,61229.89753603987,67903.18900451926,42259.783580269126,58076.86340253106,73973.75473238461,87019.09449452384,Idaho
8,Required annual income before taxes,33631.198182289816,65439.28256249378,80674.95831839892,107069.02365973142,53123.4027094949,64996.98897233829,76970.42835475208,85359.00412164208,53123.4027094949,73006.90123582218,92990.66557608868,109388.90666378553,Idaho
9,Transportation,4938.0,8762.0,11391.0,13455.999999999996,8762.0,11391.0,13455.999999999996,14613.0,8762.0,11391.0,13455.999999999996,14613.0,Idaho
0,Annual taxes,7153.430884064507,13666.941600634405,17125.05406337076,22542.40904407697,10757.947488342514,12877.54484207654,15116.5407381653,16411.522272649076,10757.947488342514,15028.409139555913,19418.547865817054,22864.386330108307,Illinois
1,Child Care,0.0,9229.594569131812,18459.021475788675,27689.078184110655,0.0,9229.594569131812,18459.021475788675,27689.078184110655,0.0,9229.594569131812,18459.021475788675,27689.078184110655,Illinois
2,Civic,2894.0,4646.000000000003,5741.000000000001,7496.000000000002,4646.000000000003,5741.000000000001,7496.000000000002,5959.000000000002,4646.000000000003,5741.000000000001,7496.000000000002,5959.000000000002,Illinois
3,Food,3423.0000000000014,5043.999999999999,7577.0,10049.999999999996,6274.999999999998,7808.999999999999,10068.0,12257.000000000004,6274.999999999998,7808.999999999999,10068.0,12257.000000000004,Illinois
4,Housing,11296.474416131407,14829.724606888878,14829.724606888878,19023.219290531302,12516.34433316012,14829.724606888878,14829.724606888878,19023.219290531302,12516.34433316012,14829.724606888878,14829.724606888878,19023.219290531302,Illinois
5,Medical,2714.9999999999977,7991.0,7777.999999999999,8087.000000000002,5821.999999999999,7777.999999999999,8087.000000000002,7876.0,5821.999999999999,7777.999999999999,8087.000000000002,7876.0,Illinois
6,Other,4939.000000000001,7366.0,6739.000000000002,9803.999999999995,7366.0,6739.000000000002,9803.999999999995,9484.000000000007,7366.0,6739.000000000002,9803.999999999995,9484.000000000007,Illinois
7,Required annual income after taxes,30695.640842430563,58644.20663632395,73484.71785008992,96729.36896745012,46163.315967655464,55258.52824701772,64865.55580900814,70421.36750335938,46163.315967655464,64488.122816149546,83324.57728479683,98110.44568747004,Illinois
8,Required annual income before taxes,37849.77614828464,72310.64408887512,90609.7384211935,119271.73753671045,56921.287972201906,68136.03048383861,79982.08976375895,86832.79502778349,56921.287972201906,79516.40137056778,102742.67219576088,120974.73753671051,Illinois
9,Transportation,5305.000000000001,9413.999999999998,12238.999999999998,14455.999999999998,9413.999999999998,12238.999999999998,14455.999999999998,15699.999999999996,9413.999999999998,12238.999999999998,14455.999999999998,15699.999999999996,Illinois
0,Annual taxes,5645.117012537763,10524.177432231081,13003.233448465156,17059.513639396362,8777.51968092665,10421.354057207654,12414.350640132641,13400.873656033184,8777.51968092665,11736.415349572964,15044.275029097607,17346.034835315546,Indiana
1,Child Care,0.0,6339.472086569998,12678.835510037485,19018.15049398971,0.0,6339.472086569998,12678.835510037485,19018.15049398971,0.0,6339.472086569998,12678.835510037485,19018.15049398971,Indiana
2,Civic,2893.999999999999,4646.000000000001,5740.999999999999,7495.999999999998,4646.000000000001,5740.999999999999,7495.999999999998,5959.0,4646.000000000001,5740.999999999999,7495.999999999998,5959.0,Indiana
3,Food,3423.000000000001,5043.999999999998,7577.000000000002,10050.0,6275.000000000001,7809.000000000001,10067.999999999993,12257.000000000002,6275.000000000001,7809.000000000001,10067.999999999993,12257.000000000002,Indiana
4,Housing,7846.17607880654,11117.314360803257,11117.314360803257,14510.783172548316,8985.504315431046,11117.314360803257,11117.314360803257,14510.783172548316,8985.504315431046,11117.314360803257,11117.314360803257,14510.783172548316,Indiana
5,Medical,2682.000000000001,6683.999999999999,6471.0,6781.0,5503.999999999997,6471.0,6781.0,6569.0,5503.999999999997,6471.0,6781.0,6569.0,Indiana
6,Other,4938.999999999999,7365.999999999999,6739.0,9804.000000000002,7365.999999999999,6739.0,9804.000000000002,9484.000000000004,7365.999999999999,6739.0,9804.000000000002,9484.000000000004,Indiana
7,Required annual income after taxes,27213.01679941145,50734.6834164662,62685.13001173564,82239.14100362698,42314.53781707899,50238.86534055061,59845.91773394469,64602.076217354,42314.53781707899,56578.33742712063,72524.75324398214,83620.23364340045,Indiana
